Timestamp;ProbandenID;TrialCounter;Trial;CircleCounter;DisplayedCircleNr;Notice;PointingErrors;StartPointX;StartPointY;StartPointZ;EndPointX;EndPointY;EndPointZ;SelectPointX;SelectPointY;SelectpointZ;NormalizedSelectionPointX;NormalizedSelectionPointY;NormalizedSelectionPointZ;DX;AE;PredictionModel;BigCircleRadius;SmallCircleRadius;TrialTime;TrialErrors;TrialDx;TrialAE
1580924913628;16;0;6;0;0;displayPause;0;0,00000000000000000000;0,00000000000000000000;0,00000000000000000000;0,00000000000000000000;0,00000000000000000000;0,00000000000000000000;0,00000000000000000000;0,00000000000000000000;0,00000000000000000000;0,00000000000000000000;0,00000000000000000000;0,00000000000000000000;0;0;24;1,5;0,15;1580924839430;0;;
1580924952140;16;0;6;0;0;startedNewTrial;0;0,00000000000000000000;0,00000000000000000000;0,00000000000000000000;0,00000000000000000000;0,00000000000000000000;0,00000000000000000000;0,00000000000000000000;0,00000000000000000000;0,00000000000000000000;0,00000000000000000000;0,00000000000000000000;0,00000000000000000000;0;0;24;1,5;0,15;1580924839430;0;;
1580924952144;16;0;6;0;0;displayedCircles;0;0,00000000000000000000;0,00000000000000000000;0,00000000000000000000;-2,50000000000000000000;10,20150000000000000000;26,20000000000000000000;0,00000000000000000000;0,00000000000000000000;0,00000000000000000000;0,00000000000000000000;0,00000000000000000000;0,00000000000000000000;0;0;24;3;0,3;1580924839430;0;;
1580924953360;16;0;6;0;0;goalCirclePressed;1;0,00000000000000000000;0,00000000000000000000;0,00000000000000000000;-2,50000000000000000000;10,20150000000000000000;26,20000000000000000000;-2,53481200000000000000;10,19223000000000000000;25,89872000000000000000;-0,03481197000000000000;0,00000000000000000000;-0,30127720000000000000;-0,296608;26,0224;24;3;0,3;1580924839430;1;;
1580924953362;16;0;6;1;8;displayedCircles;0;-2,50000000000000000000;10,20150000000000000000;26,20000000000000000000;-3,12373500000000000000;10,20150000000000000000;20,26556000000000000000;-2,53481200000000000000;10,19223000000000000000;25,89872000000000000000;-0,03481197000000000000;0,00000000000000000000;-0,30127720000000000000;-0,296608;26,0224;24;3;0,3;1580924839430;1;;
1580924955738;16;0;6;1;8;goalCirclePressed;7;-2,50000000000000000000;10,20150000000000000000;26,20000000000000000000;-3,12373500000000000000;10,20150000000000000000;20,26556000000000000000;-3,28049700000000000000;10,19709000000000000000;20,02943000000000000000;0,10424200000000000000;0,00000000000000000000;0,26356040000000000000;0,2512201;5,921743;24;3;0,3;1580924839430;8;0,2512201_;5,921743_
1580924955740;16;0;6;2;1;displayedCircles;0;-3,12373500000000000000;10,20150000000000000000;20,26556000000000000000;-1,27979000000000000000;10,20150000000000000000;25,94064000000000000000;-3,28049700000000000000;10,19709000000000000000;20,02943000000000000000;0,10424200000000000000;0,00000000000000000000;0,26356040000000000000;0,2512201;5,921743;24;3;0,3;1580924839430;8;0,2512201_;5,921743_
1580924957167;16;0;6;2;1;goalCirclePressed;3;-3,12373500000000000000;10,20150000000000000000;20,26556000000000000000;-1,27979000000000000000;10,20150000000000000000;25,94064000000000000000;-1,24066500000000000000;10,19506000000000000000;25,70387000000000000000;0,13204640000000000000;0,00000000000000000000;-0,20038900000000000000;-0,2130936;6,005258;24;3;0,3;1580924839430;11;0,2512201_-0,2130936_;5,921743_6,005258_
1580924957169;16;0;6;3;9;displayedCircles;0;-1,27979000000000000000;10,20150000000000000000;25,94064000000000000000;-4,26335600000000000000;10,20150000000000000000;20,77295000000000000000;-1,24066500000000000000;10,19506000000000000000;25,70387000000000000000;0,13204640000000000000;0,00000000000000000000;-0,20038900000000000000;-0,2130936;6,005258;24;3;0,3;1580924839430;11;0,2512201_-0,2130936_;5,921743_6,005258_
1580924958864;16;0;6;3;9;goalCirclePressed;2;-1,27979000000000000000;10,20150000000000000000;25,94064000000000000000;-4,26335600000000000000;10,20150000000000000000;20,77295000000000000000;-4,44271600000000000000;10,20694000000000000000;20,53182000000000000000;0,00337173000000000000;0,00000000000000000000;0,30050380000000000000;0,2985053;6,052544;24;3;0,3;1580924839430;13;0,2512201_-0,2130936_0,2985053_;5,921743_6,005258_6,052544_
1580924958866;16;0;6;4;2;displayedCircles;0;-4,26335600000000000000;10,20150000000000000000;20,77295000000000000000;-0,27056550000000000000;10,20150000000000000000;25,20739000000000000000;-4,44271600000000000000;10,20694000000000000000;20,53182000000000000000;0,00337173000000000000;0,00000000000000000000;0,30050380000000000000;0,2985053;6,052544;24;3;0,3;1580924839430;13;0,2512201_-0,2130936_0,2985053_;5,921743_6,005258_6,052544_
1580924960663;16;0;6;4;2;goalCirclePressed;2;-4,26335600000000000000;10,20150000000000000000;20,77295000000000000000;-0,27056550000000000000;10,20150000000000000000;25,20739000000000000000;0,02653791000000000000;10,20221000000000000000;25,20412000000000000000;0,20123050000000000000;0,00000000000000000000;0,21860340000000000000;0,1963713;6,462008;24;3;0,3;1580924839430;15;0,2512201_-0,2130936_0,2985053_0,1963713_;5,921743_6,005258_6,052544_6,462008_
1580924960665;16;0;6;5;10;displayedCircles;0;-0,27056550000000000000;10,20150000000000000000;25,20739000000000000000;-5,09807600000000000000;10,20150000000000000000;21,70000000000000000000;0,02653791000000000000;10,20221000000000000000;25,20412000000000000000;0,20123050000000000000;0,00000000000000000000;0,21860340000000000000;0,1963713;6,462008;24;3;0,3;1580924839430;15;0,2512201_-0,2130936_0,2985053_0,1963713_;5,921743_6,005258_6,052544_6,462008_
1580924962362;16;0;6;5;10;goalCirclePressed;4;-0,27056550000000000000;10,20150000000000000000;25,20739000000000000000;-5,09807600000000000000;10,20150000000000000000;21,70000000000000000000;-4,90069200000000000000;10,20286000000000000000;21,47228000000000000000;-0,29590540000000000000;0,00000000000000000000;-0,05707881000000000000;-0,02583587;6,137666;24;3;0,3;1580924839430;19;0,2512201_-0,2130936_0,2985053_0,1963713_-0,02583587_;5,921743_6,005258_6,052544_6,462008_6,137666_
1580924962364;16;0;6;6;3;displayedCircles;0;-5,09807600000000000000;10,20150000000000000000;21,70000000000000000000;0,35316970000000000000;10,20150000000000000000;24,12705000000000000000;-4,90069200000000000000;10,20286000000000000000;21,47228000000000000000;-0,29590540000000000000;0,00000000000000000000;-0,05707881000000000000;-0,02583587;6,137666;24;3;0,3;1580924839430;19;0,2512201_-0,2130936_0,2985053_0,1963713_-0,02583587_;5,921743_6,005258_6,052544_6,462008_6,137666_
1580924963881;16;0;6;6;3;goalCirclePressed;3;-5,09807600000000000000;10,20150000000000000000;21,70000000000000000000;0,35316970000000000000;10,20150000000000000000;24,12705000000000000000;0,18349670000000000000;10,18898000000000000000;23,85985000000000000000;0,20169270000000000000;0,00000000000000000000;-0,24393860000000000000;-0,2636846;5,677611;24;3;0,3;1580924839430;22;0,2512201_-0,2130936_0,2985053_0,1963713_-0,02583587_-0,2636846_;5,921743_6,005258_6,052544_6,462008_6,137666_5,677611_
1580924963882;16;0;6;7;11;displayedCircles;0;0,35316970000000000000;10,20150000000000000000;24,12705000000000000000;-5,48356600000000000000;10,20150000000000000000;22,88642000000000000000;0,18349670000000000000;10,18898000000000000000;23,85985000000000000000;0,20169270000000000000;0,00000000000000000000;-0,24393860000000000000;-0,2636846;5,677611;24;3;0,3;1580924839430;22;0,2512201_-0,2130936_0,2985053_0,1963713_-0,02583587_-0,2636846_;5,921743_6,005258_6,052544_6,462008_6,137666_5,677611_
1580924966362;16;0;6;7;11;goalCirclePressed;1;0,35316970000000000000;10,20150000000000000000;24,12705000000000000000;-5,48356600000000000000;10,20150000000000000000;22,88642000000000000000;-5,19912300000000000000;10,20158000000000000000;22,91527000000000000000;-0,00103788700000000000;0,00000000000000000000;-0,28590010000000000000;-0,284225;5,419222;24;3;0,3;1580924839430;23;0,2512201_-0,2130936_0,2985053_0,1963713_-0,02583587_-0,2636846_-0,284225_;5,921743_6,005258_6,052544_6,462008_6,137666_5,677611_5,419222_
1580924966364;16;0;6;8;4;displayedCircles;0;-5,48356600000000000000;10,20150000000000000000;22,88642000000000000000;0,48356580000000000000;10,20150000000000000000;22,88642000000000000000;-5,19912300000000000000;10,20158000000000000000;22,91527000000000000000;-0,00103788700000000000;0,00000000000000000000;-0,28590010000000000000;-0,284225;5,419222;24;3;0,3;1580924839430;23;0,2512201_-0,2130936_0,2985053_0,1963713_-0,02583587_-0,2636846_-0,284225_;5,921743_6,005258_6,052544_6,462008_6,137666_5,677611_5,419222_
1580924968439;16;0;6;8;4;goalCirclePressed;2;-5,48356600000000000000;10,20150000000000000000;22,88642000000000000000;0,48356580000000000000;10,20150000000000000000;22,88642000000000000000;0,36681350000000000000;10,20816000000000000000;23,15797000000000000000;-0,25786720000000000000;0,00000000000000000000;-0,14449840000000000000;-0,1167523;5,566154;24;3;0,3;1580924839430;25;0,2512201_-0,2130936_0,2985053_0,1963713_-0,02583587_-0,2636846_-0,284225_-0,1167523_;5,921743_6,005258_6,052544_6,462008_6,137666_5,677611_5,419222_5,566154_
1580924968441;16;0;6;9;12;displayedCircles;0;0,48356580000000000000;10,20150000000000000000;22,88642000000000000000;-5,35316900000000000000;10,20150000000000000000;24,12705000000000000000;0,36681350000000000000;10,20816000000000000000;23,15797000000000000000;-0,25786720000000000000;0,00000000000000000000;-0,14449840000000000000;-0,1167523;5,566154;24;3;0,3;1580924839430;25;0,2512201_-0,2130936_0,2985053_0,1963713_-0,02583587_-0,2636846_-0,284225_-0,1167523_;5,921743_6,005258_6,052544_6,462008_6,137666_5,677611_5,419222_5,566154_
1580924971220;16;0;6;9;12;goalCirclePressed;4;0,48356580000000000000;10,20150000000000000000;22,88642000000000000000;-5,35316900000000000000;10,20150000000000000000;24,12705000000000000000;-5,08775300000000000000;10,18595000000000000000;24,29559000000000000000;0,24230480000000000000;0,00000000000000000000;-0,20034590000000000000;-0,224576;5,625803;24;3;0,3;1580924839430;29;0,2512201_-0,2130936_0,2985053_0,1963713_-0,02583587_-0,2636846_-0,284225_-0,1167523_-0,224576_;5,921743_6,005258_6,052544_6,462008_6,137666_5,677611_5,419222_5,566154_5,625803_
1580924971221;16;0;6;10;5;displayedCircles;0;-5,35316900000000000000;10,20150000000000000000;24,12705000000000000000;0,09807611000000000000;10,20150000000000000000;21,70000000000000000000;-5,08775300000000000000;10,18595000000000000000;24,29559000000000000000;0,24230480000000000000;0,00000000000000000000;-0,20034590000000000000;-0,224576;5,625803;24;3;0,3;1580924839430;29;0,2512201_-0,2130936_0,2985053_0,1963713_-0,02583587_-0,2636846_-0,284225_-0,1167523_-0,224576_;5,921743_6,005258_6,052544_6,462008_6,137666_5,677611_5,419222_5,566154_5,625803_
1580924973386;16;0;6;10;5;goalCirclePressed;1;-5,35316900000000000000;10,20150000000000000000;24,12705000000000000000;0,09807611000000000000;10,20150000000000000000;21,70000000000000000000;0,32660060000000000000;10,20338000000000000000;21,51702000000000000000;0,04420108000000000000;0,00000000000000000000;0,28939680000000000000;0,2831908;6,025746;24;3;0,3;1580924839430;30;0,2512201_-0,2130936_0,2985053_0,1963713_-0,02583587_-0,2636846_-0,284225_-0,1167523_-0,224576_0,2831908_;5,921743_6,005258_6,052544_6,462008_6,137666_5,677611_5,419222_5,566154_5,625803_6,025746_
1580924973388;16;0;6;11;13;displayedCircles;0;0,09807611000000000000;10,20150000000000000000;21,70000000000000000000;-4,72943400000000000000;10,20150000000000000000;25,20739000000000000000;0,32660060000000000000;10,20338000000000000000;21,51702000000000000000;0,04420108000000000000;0,00000000000000000000;0,28939680000000000000;0,2831908;6,025746;24;3;0,3;1580924839430;30;0,2512201_-0,2130936_0,2985053_0,1963713_-0,02583587_-0,2636846_-0,284225_-0,1167523_-0,224576_0,2831908_;5,921743_6,005258_6,052544_6,462008_6,137666_5,677611_5,419222_5,566154_5,625803_6,025746_
1580924975184;16;0;6;11;13;goalCirclePressed;1;0,09807611000000000000;10,20150000000000000000;21,70000000000000000000;-4,72943400000000000000;10,20150000000000000000;25,20739000000000000000;-4,63402600000000000000;10,21486000000000000000;24,91504000000000000000;-0,15342390000000000000;0,00000000000000000000;-0,26652830000000000000;-0,2490311;6,001291;24;3;0,3;1580924839430;31;0,2512201_-0,2130936_0,2985053_0,1963713_-0,02583587_-0,2636846_-0,284225_-0,1167523_-0,224576_0,2831908_-0,2490311_;5,921743_6,005258_6,052544_6,462008_6,137666_5,677611_5,419222_5,566154_5,625803_6,025746_6,001291_
1580924975186;16;0;6;12;6;displayedCircles;0;-4,72943400000000000000;10,20150000000000000000;25,20739000000000000000;-0,73664450000000000000;10,20150000000000000000;20,77295000000000000000;-4,63402600000000000000;10,21486000000000000000;24,91504000000000000000;-0,15342390000000000000;0,00000000000000000000;-0,26652830000000000000;-0,2490311;6,001291;24;3;0,3;1580924839430;31;0,2512201_-0,2130936_0,2985053_0,1963713_-0,02583587_-0,2636846_-0,284225_-0,1167523_-0,224576_0,2831908_-0,2490311_;5,921743_6,005258_6,052544_6,462008_6,137666_5,677611_5,419222_5,566154_5,625803_6,025746_6,001291_
1580924977107;16;0;6;12;6;goalCirclePressed;1;-4,72943400000000000000;10,20150000000000000000;25,20739000000000000000;-0,73664450000000000000;10,20150000000000000000;20,77295000000000000000;-0,83578420000000000000;10,22356000000000000000;20,47493000000000000000;0,25537710000000000000;0,00000000000000000000;0,18282990000000000000;0,1551343;5,873235;24;3;0,3;1580924839430;32;0,2512201_-0,2130936_0,2985053_0,1963713_-0,02583587_-0,2636846_-0,284225_-0,1167523_-0,224576_0,2831908_-0,2490311_0,1551343_;5,921743_6,005258_6,052544_6,462008_6,137666_5,677611_5,419222_5,566154_5,625803_6,025746_6,001291_5,873235_
1580924977109;16;0;6;13;14;displayedCircles;0;-0,73664450000000000000;10,20150000000000000000;20,77295000000000000000;-3,72021000000000000000;10,20150000000000000000;25,94064000000000000000;-0,83578420000000000000;10,22356000000000000000;20,47493000000000000000;0,25537710000000000000;0,00000000000000000000;0,18282990000000000000;0,1551343;5,873235;24;3;0,3;1580924839430;32;0,2512201_-0,2130936_0,2985053_0,1963713_-0,02583587_-0,2636846_-0,284225_-0,1167523_-0,224576_0,2831908_-0,2490311_0,1551343_;5,921743_6,005258_6,052544_6,462008_6,137666_5,677611_5,419222_5,566154_5,625803_6,025746_6,001291_5,873235_
1580924978680;16;0;6;13;14;goalCirclePressed;1;-0,73664450000000000000;10,20150000000000000000;20,77295000000000000000;-3,72021000000000000000;10,20150000000000000000;25,94064000000000000000;-3,71952800000000000000;10,20962000000000000000;25,64719000000000000000;-0,11873250000000000000;0,00000000000000000000;-0,26835310000000000000;-0,2544723;5,867794;24;3;0,3;1580924839430;33;0,2512201_-0,2130936_0,2985053_0,1963713_-0,02583587_-0,2636846_-0,284225_-0,1167523_-0,224576_0,2831908_-0,2490311_0,1551343_-0,2544723_;5,921743_6,005258_6,052544_6,462008_6,137666_5,677611_5,419222_5,566154_5,625803_6,025746_6,001291_5,873235_5,867794_
1580924978682;16;0;6;14;7;displayedCircles;0;-3,72021000000000000000;10,20150000000000000000;25,94064000000000000000;-1,87626500000000000000;10,20150000000000000000;20,26556000000000000000;-3,71952800000000000000;10,20962000000000000000;25,64719000000000000000;-0,11873250000000000000;0,00000000000000000000;-0,26835310000000000000;-0,2544723;5,867794;24;3;0,3;1580924839430;33;0,2512201_-0,2130936_0,2985053_0,1963713_-0,02583587_-0,2636846_-0,284225_-0,1167523_-0,224576_0,2831908_-0,2490311_0,1551343_-0,2544723_;5,921743_6,005258_6,052544_6,462008_6,137666_5,677611_5,419222_5,566154_5,625803_6,025746_6,001291_5,873235_5,867794_
1580924980179;16;0;6;14;7;goalCirclePressed;1;-3,72021000000000000000;10,20150000000000000000;25,94064000000000000000;-1,87626500000000000000;10,20150000000000000000;20,26556000000000000000;-1,87959000000000000000;10,22119000000000000000;20,07693000000000000000;0,04247096000000000000;0,00000000000000000000;0,18381970000000000000;0,1783734;5,891032;24;3;0,3;1580924839430;34;0,2512201_-0,2130936_0,2985053_0,1963713_-0,02583587_-0,2636846_-0,284225_-0,1167523_-0,224576_0,2831908_-0,2490311_0,1551343_-0,2544723_0,1783734_;5,921743_6,005258_6,052544_6,462008_6,137666_5,677611_5,419222_5,566154_5,625803_6,025746_6,001291_5,873235_5,867794_5,891032_
1580924980181;16;0;6;15;0;displayedCircles;0;-1,87626500000000000000;10,20150000000000000000;20,26556000000000000000;-2,50000000000000000000;10,20150000000000000000;26,20000000000000000000;-1,87959000000000000000;10,22119000000000000000;20,07693000000000000000;0,04247096000000000000;0,00000000000000000000;0,18381970000000000000;0,1783734;5,891032;24;3;0,3;1580924839430;34;0,2512201_-0,2130936_0,2985053_0,1963713_-0,02583587_-0,2636846_-0,284225_-0,1167523_-0,224576_0,2831908_-0,2490311_0,1551343_-0,2544723_0,1783734_;5,921743_6,005258_6,052544_6,462008_6,137666_5,677611_5,419222_5,566154_5,625803_6,025746_6,001291_5,873235_5,867794_5,891032_
