Timestamp;ProbandenID;TrialCounter;Trial;CircleCounter;DisplayedCircleNr;Notice;PointingErrors;StartPointX;StartPointY;StartPointZ;EndPointX;EndPointY;EndPointZ;SelectPointX;SelectPointY;SelectpointZ;NormalizedSelectionPointX;NormalizedSelectionPointY;NormalizedSelectionPointZ;DX;AE;PredictionModel;BigCircleRadius;SmallCircleRadius;TrialTime;TrialErrors;TrialDx;TrialAE
1580819358901;13;0;3;0;0;displayPause;0;0,00000000000000000000;0,00000000000000000000;0,00000000000000000000;0,00000000000000000000;0,00000000000000000000;0,00000000000000000000;0,00000000000000000000;0,00000000000000000000;0,00000000000000000000;0,00000000000000000000;0,00000000000000000000;0,00000000000000000000;0;0;-12;1,5;0,15;1580819343346;0;;
1580819361683;13;0;3;0;0;startedNewTrial;0;0,00000000000000000000;0,00000000000000000000;0,00000000000000000000;0,00000000000000000000;0,00000000000000000000;0,00000000000000000000;0,00000000000000000000;0,00000000000000000000;0,00000000000000000000;0,00000000000000000000;0,00000000000000000000;0,00000000000000000000;0;0;-12;1,5;0,15;1580819343346;0;;
1580819361685;13;0;3;0;0;displayedCircles;0;0,00000000000000000000;0,00000000000000000000;0,00000000000000000000;-2,50000000000000000000;10,20150000000000000000;26,20000000000000000000;0,00000000000000000000;0,00000000000000000000;0,00000000000000000000;0,00000000000000000000;0,00000000000000000000;0,00000000000000000000;0;0;-12;3;0,15;1580819343346;0;;
1580819369702;13;0;3;0;0;goalCirclePressed;1;0,00000000000000000000;0,00000000000000000000;0,00000000000000000000;-2,50000000000000000000;10,20150000000000000000;26,20000000000000000000;-2,42818400000000000000;10,17460000000000000000;26,07703000000000000000;0,07181644000000000000;0,00000000000000000000;-0,12296680000000000000;-0,1292341;26,18977;-12;3;0,15;1580819343346;1;;
1580819369703;13;0;3;1;8;displayedCircles;0;-2,50000000000000000000;10,20150000000000000000;26,20000000000000000000;-3,12373500000000000000;10,20150000000000000000;20,26556000000000000000;-2,42818400000000000000;10,17460000000000000000;26,07703000000000000000;0,07181644000000000000;0,00000000000000000000;-0,12296680000000000000;-0,1292341;26,18977;-12;3;0,15;1580819343346;1;;
1580819371568;13;0;3;1;8;goalCirclePressed;0;-2,50000000000000000000;10,20150000000000000000;26,20000000000000000000;-3,12373500000000000000;10,20150000000000000000;20,26556000000000000000;-3,11577600000000000000;10,20248000000000000000;20,12697000000000000000;-0,03659934000000000000;0,00000000000000000000;0,13390270000000000000;0,1369945;5,974891;-12;3;0,15;1580819343346;1;0,1369945_;5,974891_
1580819371570;13;0;3;2;1;displayedCircles;0;-3,12373500000000000000;10,20150000000000000000;20,26556000000000000000;-1,27979000000000000000;10,20150000000000000000;25,94064000000000000000;-3,11577600000000000000;10,20248000000000000000;20,12697000000000000000;-0,03659934000000000000;0,00000000000000000000;0,13390270000000000000;0,1369945;5,974891;-12;3;0,15;1580819343346;1;0,1369945_;5,974891_
1580819374371;13;0;3;2;1;goalCirclePressed;2;-3,12373500000000000000;10,20150000000000000000;20,26556000000000000000;-1,27979000000000000000;10,20150000000000000000;25,94064000000000000000;-1,37045500000000000000;10,21251000000000000000;25,81632000000000000000;-0,03226301000000000000;0,00000000000000000000;-0,15044440000000000000;-0,1462477;5,957878;-12;3;0,15;1580819343346;3;0,1369945_-0,1462477_;5,974891_5,957878_
1580819374373;13;0;3;3;9;displayedCircles;0;-1,27979000000000000000;10,20150000000000000000;25,94064000000000000000;-4,26335600000000000000;10,20150000000000000000;20,77295000000000000000;-1,37045500000000000000;10,21251000000000000000;25,81632000000000000000;-0,03226301000000000000;0,00000000000000000000;-0,15044440000000000000;-0,1462477;5,957878;-12;3;0,15;1580819343346;3;0,1369945_-0,1462477_;5,974891_5,957878_
1580819378269;13;0;3;3;9;goalCirclePressed;0;-1,27979000000000000000;10,20150000000000000000;25,94064000000000000000;-4,26335600000000000000;10,20150000000000000000;20,77295000000000000000;-4,24816700000000000000;10,22771000000000000000;20,81052000000000000000;0,00979647000000000000;0,00000000000000000000;-0,03932505000000000000;-0,04013384;5,780751;-12;3;0,15;1580819343346;3;0,1369945_-0,1462477_-0,04013384_;5,974891_5,957878_5,780751_
1580819378271;13;0;3;4;2;displayedCircles;0;-4,26335600000000000000;10,20150000000000000000;20,77295000000000000000;-0,27056550000000000000;10,20150000000000000000;25,20739000000000000000;-4,24816700000000000000;10,22771000000000000000;20,81052000000000000000;0,00979647000000000000;0,00000000000000000000;-0,03932505000000000000;-0,04013384;5,780751;-12;3;0,15;1580819343346;3;0,1369945_-0,1462477_-0,04013384_;5,974891_5,957878_5,780751_
1580819380548;13;0;3;4;2;goalCirclePressed;3;-4,26335600000000000000;10,20150000000000000000;20,77295000000000000000;-0,27056550000000000000;10,20150000000000000000;25,20739000000000000000;-0,39332320000000000000;10,19003000000000000000;25,16659000000000000000;-0,05181773000000000000;0,00000000000000000000;-0,11852990000000000000;-0,1124642;5,814533;-12;3;0,15;1580819343346;6;0,1369945_-0,1462477_-0,04013384_-0,1124642_;5,974891_5,957878_5,780751_5,814533_
1580819380550;13;0;3;5;10;displayedCircles;0;-0,27056550000000000000;10,20150000000000000000;25,20739000000000000000;-5,09807600000000000000;10,20150000000000000000;21,70000000000000000000;-0,39332320000000000000;10,19003000000000000000;25,16659000000000000000;-0,05181773000000000000;0,00000000000000000000;-0,11852990000000000000;-0,1124642;5,814533;-12;3;0,15;1580819343346;6;0,1369945_-0,1462477_-0,04013384_-0,1124642_;5,974891_5,957878_5,780751_5,814533_
1580819383306;13;0;3;5;10;goalCirclePressed;1;-0,27056550000000000000;10,20150000000000000000;25,20739000000000000000;-5,09807600000000000000;10,20150000000000000000;21,70000000000000000000;-5,09015400000000000000;10,19758000000000000000;21,53566000000000000000;-0,14628640000000000000;0,00000000000000000000;0,07531021000000000000;0,09018853;5,944855;-12;3;0,15;1580819343346;7;0,1369945_-0,1462477_-0,04013384_-0,1124642_0,09018853_;5,974891_5,957878_5,780751_5,814533_5,944855_
1580819383308;13;0;3;6;3;displayedCircles;0;-5,09807600000000000000;10,20150000000000000000;21,70000000000000000000;0,35316970000000000000;10,20150000000000000000;24,12705000000000000000;-5,09015400000000000000;10,19758000000000000000;21,53566000000000000000;-0,14628640000000000000;0,00000000000000000000;0,07531021000000000000;0,09018853;5,944855;-12;3;0,15;1580819343346;7;0,1369945_-0,1462477_-0,04013384_-0,1124642_0,09018853_;5,974891_5,957878_5,780751_5,814533_5,944855_
1580819384681;13;0;3;6;3;goalCirclePressed;1;-5,09807600000000000000;10,20150000000000000000;21,70000000000000000000;0,35316970000000000000;10,20150000000000000000;24,12705000000000000000;0,26201030000000000000;10,21638000000000000000;24,25147000000000000000;-0,14649500000000000000;0,00000000000000000000;-0,04825151000000000000;-0,0326739;6,024646;-12;3;0,15;1580819343346;8;0,1369945_-0,1462477_-0,04013384_-0,1124642_0,09018853_-0,0326739_;5,974891_5,957878_5,780751_5,814533_5,944855_6,024646_
1580819384682;13;0;3;7;11;displayedCircles;0;0,35316970000000000000;10,20150000000000000000;24,12705000000000000000;-5,48356600000000000000;10,20150000000000000000;22,88642000000000000000;0,26201030000000000000;10,21638000000000000000;24,25147000000000000000;-0,14649500000000000000;0,00000000000000000000;-0,04825151000000000000;-0,0326739;6,024646;-12;3;0,15;1580819343346;8;0,1369945_-0,1462477_-0,04013384_-0,1124642_0,09018853_-0,0326739_;5,974891_5,957878_5,780751_5,814533_5,944855_6,024646_
1580819387161;13;0;3;7;11;goalCirclePressed;2;0,35316970000000000000;10,20150000000000000000;24,12705000000000000000;-5,48356600000000000000;10,20150000000000000000;22,88642000000000000000;-5,55436700000000000000;10,21312000000000000000;22,75389000000000000000;-0,12439970000000000000;0,00000000000000000000;0,08426569000000000000;0,0968075;6,031265;-12;3;0,15;1580819343346;10;0,1369945_-0,1462477_-0,04013384_-0,1124642_0,09018853_-0,0326739_0,0968075_;5,974891_5,957878_5,780751_5,814533_5,944855_6,024646_6,031265_
1580819387163;13;0;3;8;4;displayedCircles;0;-5,48356600000000000000;10,20150000000000000000;22,88642000000000000000;0,48356580000000000000;10,20150000000000000000;22,88642000000000000000;-5,55436700000000000000;10,21312000000000000000;22,75389000000000000000;-0,12439970000000000000;0,00000000000000000000;0,08426569000000000000;0,0968075;6,031265;-12;3;0,15;1580819343346;10;0,1369945_-0,1462477_-0,04013384_-0,1124642_0,09018853_-0,0326739_0,0968075_;5,974891_5,957878_5,780751_5,814533_5,944855_6,024646_6,031265_
